remaining_lease_in_months,percentage
647,0.759444444
646,0.758888889
645,0.758333333
644,0.757777778
643,0.757222222
642,0.756666667
641,0.756111111
640,0.755555556
639,0.755
638,0.754444444
637,0.753888889
636,0.753333333
635,0.752777778
634,0.752222222
633,0.751666667
632,0.751111111
631,0.750555556
630,0.75
629,0.749444444
628,0.748888889
627,0.748333333
626,0.747777778
625,0.747222222
624,0.746666667
623,0.746111111
622,0.745555556
621,0.745
620,0.744444444
619,0.743888889
618,0.743333333
617,0.742777778
616,0.742222222
615,0.741666667
614,0.741111111
613,0.740555556
612,0.74
611,0.739444444
610,0.738888889
609,0.738333333
608,0.737777778
607,0.737222222
606,0.736666667
605,0.736111111
604,0.735555556
603,0.735
602,0.734444444
601,0.733888889
600,0.733333333
599,0.732777778
598,0.732222222
597,0.731666667
596,0.731111111
595,0.730555556
594,0.73
593,0.729444444
592,0.728888889
591,0.728333333
590,0.727777778
589,0.727222222
588,0.726666667
587,0.726111111
586,0.725555556
585,0.725
584,0.724444444
583,0.723888889
582,0.723333333
581,0.722777778
580,0.722222222
579,0.721666667
578,0.721111111
577,0.720555556
576,0.72
575,0.719444444
574,0.718888889
573,0.718333333
572,0.717777778
571,0.717222222
570,0.716666667
569,0.716111111
568,0.715555556
567,0.715
566,0.714444444
565,0.713888889
564,0.713333333
563,0.712777778
562,0.712222222
561,0.711666667
560,0.711111111
559,0.710555556
558,0.71
557,0.709444444
556,0.708888889
555,0.708333333
554,0.707777778
553,0.707222222
552,0.706666667
551,0.706111111
550,0.705555556
549,0.705
548,0.704444444
547,0.703888889
546,0.703333333
545,0.702777778
544,0.702222222
543,0.701666667
542,0.701111111
541,0.700555556
540,0.7
539,0.699444444
538,0.698888889
537,0.698333333
536,0.697777778
535,0.697222222
534,0.696666667
533,0.696111111
532,0.695555556
531,0.695
530,0.694444444
529,0.693888889
528,0.693333333
527,0.692777778
526,0.692222222
525,0.691666667
524,0.691111111
523,0.690555556
522,0.69
521,0.689444444
520,0.688888889
519,0.688333333
518,0.687777778
517,0.687222222
516,0.686666667
515,0.686111111
514,0.685555556
513,0.685
512,0.684444444
511,0.683888889
510,0.683333333
509,0.682777778
508,0.682222222
507,0.681666667
506,0.681111111
505,0.680555556
504,0.68
503,0.679444444
502,0.678888889
501,0.678333333
500,0.677777778
499,0.677222222
498,0.676666667
497,0.676111111
496,0.675555556
495,0.675
494,0.674444444
493,0.673888889
492,0.673333333
491,0.672777778
490,0.672222222
489,0.671666667
488,0.671111111
487,0.670555556
486,0.67
485,0.669444444
484,0.668888889
483,0.668333333
482,0.667777778
481,0.667222222
480,0.666666667
479,0.666111111
478,0.665555556
477,0.665
476,0.664444444
475,0.663888889
474,0.663333333
473,0.662777778
472,0.662222222
471,0.661666667
470,0.661111111
469,0.660555556
468,0.66
467,0.659444444
466,0.658888889
465,0.658333333
464,0.657777778
463,0.657222222
462,0.656666667
461,0.656111111
460,0.655555556
459,0.655
458,0.654444444
457,0.653888889
456,0.653333333
455,0.652777778
454,0.652222222
453,0.651666667
452,0.651111111
451,0.650555556
450,0.65
449,0.649444444
448,0.648888889
447,0.648333333
446,0.647777778
445,0.647222222
444,0.646666667
443,0.646111111
442,0.645555556
441,0.645
440,0.644444444
439,0.643888889
438,0.643333333
437,0.642777778
436,0.642222222
435,0.641666667
434,0.641111111
433,0.640555556
432,0.64
431,0.639444444
430,0.638888889
429,0.638333333
428,0.637777778
427,0.637222222
426,0.636666667
425,0.636111111
424,0.635555556
423,0.635
422,0.634444444
421,0.633888889
420,0.633333333
419,0.632777778
418,0.632222222
417,0.631666667
416,0.631111111
415,0.630555556
414,0.63
413,0.629444444
412,0.628888889
411,0.628333333
410,0.627777778
409,0.627222222
408,0.626666667
407,0.626111111
406,0.625555556
405,0.625
404,0.624444444
403,0.623888889
402,0.623333333
401,0.622777778
400,0.622222222
399,0.621666667
398,0.621111111
397,0.620555556
396,0.62
395,0.619444444
394,0.618888889
393,0.618333333
392,0.617777778
391,0.617222222
390,0.616666667
389,0.616111111
388,0.615555556
387,0.615
386,0.614444444
385,0.613888889
384,0.613333333
383,0.612777778
382,0.612222222
381,0.611666667
380,0.611111111
379,0.610555556
378,0.61
377,0.609444444
376,0.608888889
375,0.608333333
374,0.607777778
373,0.607222222
372,0.606666667
371,0.606111111
370,0.605555556
369,0.605
368,0.604444444
367,0.603888889
366,0.603333333
365,0.602777778
364,0.602222222
363,0.601666667
362,0.601111111
361,0.600555556
360,0.6
359,0.598888889
358,0.597777778
357,0.596666667
356,0.595555556
355,0.594444444
354,0.593333333
353,0.592222222
352,0.591111111
351,0.59
350,0.588888889
349,0.587777778
348,0.586666667
347,0.585555556
346,0.584444444
345,0.583333333
344,0.582222222
343,0.581111111
342,0.58
341,0.578888889
340,0.577777778
339,0.576666667
338,0.575555556
337,0.574444444
336,0.573333333
335,0.572222222
334,0.571111111
333,0.57
332,0.568888889
331,0.567777778
330,0.566666667
329,0.565555556
328,0.564444444
327,0.563333333
326,0.562222222
325,0.561111111
324,0.56
323,0.558888889
322,0.557777778
321,0.556666667
320,0.555555556
319,0.554444444
318,0.553333333
317,0.552222222
316,0.551111111
315,0.55
314,0.548888889
313,0.547777778
312,0.546666667
311,0.545555556
310,0.544444444
309,0.543333333
308,0.542222222
307,0.541111111
306,0.54
305,0.538888889
304,0.537777778
303,0.536666667
302,0.535555556
301,0.534444444
300,0.533333333
299,0.532222222
298,0.531111111
297,0.53
296,0.528888889
295,0.527777778
294,0.526666667
293,0.525555556
292,0.524444444
291,0.523333333
290,0.522222222
289,0.521111111
288,0.52
287,0.518888889
286,0.517777778
285,0.516666667
284,0.515555556
283,0.514444444
282,0.513333333
281,0.512222222
280,0.511111111
279,0.51
278,0.508888889
277,0.507777778
276,0.506666667
275,0.505555556
274,0.504444444
273,0.503333333
272,0.502222222
271,0.501111111
270,0.5
269,0.498888889
268,0.497777778
267,0.496666667
266,0.495555556
265,0.494444444
264,0.493333333
263,0.492222222
262,0.491111111
261,0.49
260,0.488888889
259,0.487777778
258,0.486666667
257,0.485555556
256,0.484444444
255,0.483333333
254,0.482222222
253,0.481111111
252,0.48
251,0.478888889
250,0.477777778
249,0.476666667
248,0.475555556
247,0.474444444
246,0.473333333
245,0.472222222
244,0.471111111
243,0.47
242,0.468888889
241,0.467777778
240,0.466666667
239,0.465555556
238,0.464444444
237,0.463333333
236,0.462222222
235,0.461111111
234,0.46
233,0.458888889
232,0.457777778
231,0.456666667
230,0.455555556
229,0.454444444
228,0.453333333
227,0.452222222
226,0.451111111
225,0.45
224,0.448888889
223,0.447777778
222,0.446666667
221,0.445555556
220,0.444444444
219,0.443333333
218,0.442222222
217,0.441111111
216,0.44
215,0.438888889
214,0.437777778
213,0.436666667
212,0.435555556
211,0.434444444
210,0.433333333
209,0.432222222
208,0.431111111
207,0.43
206,0.428888889
205,0.427777778
204,0.426666667
203,0.425555556
202,0.424444444
201,0.423333333
200,0.422222222
199,0.421111111
198,0.42
197,0.418888889
196,0.417777778
195,0.416666667
194,0.415555556
193,0.414444444
192,0.413333333
191,0.412222222
190,0.411111111
189,0.41
188,0.408888889
187,0.407777778
186,0.406666667
185,0.405555556
184,0.404444444
183,0.403333333
182,0.402222222
181,0.401111111
180,0.4
179,0.397845238
178,0.395690476
177,0.393535714
176,0.391380952
175,0.38922619
174,0.387071429
173,0.384916667
172,0.382761905
171,0.380607143
170,0.378452381
169,0.376297619
168,0.374142857
167,0.371988095
166,0.369833333
165,0.367678571
164,0.36552381
163,0.363369048
162,0.361214286
161,0.359059524
160,0.356904762
159,0.35475
158,0.352595238
157,0.350440476
156,0.348285714
155,0.346130952
154,0.34397619
153,0.341821429
152,0.339666667
151,0.337511905
150,0.335357143
149,0.333202381
148,0.331047619
147,0.328892857
146,0.326738095
145,0.324583333
144,0.322428571
143,0.32027381
142,0.318119048
141,0.315964286
140,0.313809524
139,0.311654762
138,0.3095
137,0.307345238
136,0.305190476
135,0.303035714
134,0.300880952
133,0.29872619
132,0.296571429
131,0.294416667
130,0.292261905
129,0.290107143
128,0.287952381
127,0.285797619
126,0.283642857
125,0.281488095
